model,task,pass@1,k,batch,rounds,temp,top_p,context_len,timestamp
Qwen2.5-Math-7B,AIME-TTT,100.0,16,1,3,0.6,0.95,3072,2025-06-11T18:14:19
Qwen2.5-Math-7B,AIME-TTT,9.38,16,1,3,0.6,0.95,3072,2025-06-11T18:46:14
Qwen2.5-Math-7B,AIME-TTT,0.0,16,3,1,0.6,0.95,3072,2025-06-11T20:35:53
Qwen2.5-Math-7B,AIME-TTT,0.0,16,3,1,0.6,0.95,3072,2025-06-11T21:27:04
Qwen2.5-Math-7B,AIME-TTT,3.12,16,3,1,0.6,0.95,3072,2025-06-12T04:03:10
Qwen2.5-Math-7B,AIME-TTT,50.0,16,3,1,0.6,0.95,3072,2025-06-12T13:08:17
Qwen2.5-Math-7B,AIME-TTT,0.0,16,3,1,0.6,0.95,3072,2025-06-12T13:35:36
Qwen2.5-Math-7B,AIME-TTT,0.0,16,3,1,0.6,0.95,3072,2025-06-12T16:09:57
Qwen2.5-Math-7B,AIME-TTT,0.0,16,3,1,0.6,0.95,3072,2025-06-12T19:16:23
Qwen2.5-Math-7B,AIME-TTT,0.0,16,3,1,0.6,0.95,3072,2025-06-12T20:17:51
Qwen2.5-Math-7B,AIME-TTT,46.88,16,3,1,0.6,0.95,3072,2025-06-12T20:44:21
Qwen2.5-Math-7B,AIME-TTT,0.0,16,3,1,0.6,0.95,3072,2025-06-13T16:21:31
Qwen2.5-Math-7B,AIME-TTT,21.88,16,3,1,0.6,0.95,3072,2025-06-13T17:02:15
Qwen2.5-Math-7B,AIME-TTT,0.0,16,3,1,0.6,0.95,3072,2025-06-13T17:34:02
Qwen2.5-Math-7B,AIME-TTT,0.0,16,3,1,0.6,0.95,3072,2025-06-13T18:42:18
Qwen2.5-Math-7B,AIME-TTT,0.0,16,3,1,0.6,0.95,3072,2025-06-13T19:39:48
Qwen2.5-Math-7B,AIME-TTT,0.0,16,3,1,0.6,0.95,3072,2025-06-13T19:57:02
Qwen2.5-Math-7B,AIME-TTT,0.0,16,3,1,0.6,0.95,13072,2025-07-03T15:33:10
Qwen2.5-Math-7B,AIME-TTT,0.0,16,3,1,0.6,0.95,3072,2025-07-03T20:20:31
Qwen2.5-Math-7B,AIME-TTT,0.0,16,3,1,0.6,0.95,3072,2025-07-04T04:41:45
Qwen2.5-Math-7B,AIME-TTT,0.0,16,3,1,0.6,0.95,3072,2025-07-04T13:38:18
Qwen2.5-Math-7B,AIME-TTT,6.25,16,3,1,0.6,0.95,3072,2025-07-04T14:18:47
Qwen2.5-Math-7B,AIME-TTT,0.0,16,3,1,0.6,0.95,3072,2025-07-04T14:51:22
Qwen2.5-Math-7B,AIME-TTT,0.0,16,3,1,0.6,0.95,3072,2025-07-04T15:11:06
Qwen2.5-Math-7B,AIME-TTT,0.0,16,3,1,0.6,0.95,3072,2025-07-04T15:31:41
Qwen2.5-Math-7B,AIME-TTT,0.0,16,3,1,0.6,0.95,3072,2025-07-04T15:47:39
Qwen2.5-Math-7B,AIME-TTT,0.0,16,3,1,0.6,0.95,3072,2025-07-04T16:06:59
Qwen2.5-Math-7B,AIME-TTT,56.25,16,3,1,0.6,0.95,3072,2025-07-04T19:41:30
Qwen2.5-Math-7B,AIME-TTT,0.0,16,3,1,0.6,0.95,3072,2025-07-04T20:03:24
